code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id,Card Quality,Prospective Copies,Build-Around
3004,1,haas-bioroid,0,,Matt Zeilinger,,Initiative,,cac,4,3,corp,"When you score this agenda, you may create a new remote server by installing up to 3 cards from HQ and/or Archives in the root of and/or protecting that server, ignoring all install costs. Limit 1 per deck.",Director Haas' Pet Project,"When you score this agenda, you may create a new remote server by installing up to 3 cards from HQ and/or Archives in the root of and/or protecting that server, ignoring all install costs.
Limit 1 per deck.",Director Haas' Pet Project,agenda,True,,,,,3,1,,haas-bioroid,Director Haas' Pet Project,3004,127,636,1381,corp,237,0,,
10066,3,haas-bioroid,0,,Sander Mosk,,Security,,si,66,3,corp,"Whenever the Runner searches the stack or installs a card from the heap, they trash 1 card from the grip at random.",Personality Profiles,"Whenever the Runner searches the stack or installs a card from the heap, they trash 1 card from the grip at random.",Personality Profiles,agenda,False,,,,,3,1,,haas-bioroid,Personality Profiles,10066,113,850,1243,corp,879,0,,
11110,3,haas-bioroid,0,,Samuel Leung,,Security,,qu,110,3,corp,"Place 1 agenda counter on Sensor Net Activation when you score it. Hosted agenda counter: Rez a bioroid, ignoring all costs. When the turn ends, derez that bioroid.",Sensor Net Activation,"Place 1 agenda counter on Sensor Net Activation when you score it.
<strong>Hosted agenda counter:</strong> Rez a <strong>bioroid</strong>, ignoring all costs. When the turn ends, derez that <strong>bioroid</strong>.",Sensor Net Activation,agenda,False,,,,,3,1,,haas-bioroid,Sensor Net Activation,11110,109,867,1229,corp,1037,0,,
12009,3,haas-bioroid,0,"""The newest electronic-warfare rollout from NEXT Design has us sysops drooling."" -Mason Bellamy",Shawn Ye Zhongyi,,NEXT,,dc,9,3,corp,"When you score this agenda, if there is a rezzed piece of NEXT ice, you may do 1 core damage.",NEXT Wave 2,"When you score this agenda, if there is a rezzed piece of <strong>NEXT</strong> ice, you may do 1 core damage.",NEXT Wave 2,agenda,False,,,,,4,2,,haas-bioroid,NEXT Wave 2,12009,139,699,1342,corp,1056,0,,
20062,3,haas-bioroid,0,Who wants to start a war?,Emilio Rodriguez,,Security,,core2,62,2,corp,"When you score this agenda, the Runner trashes 1 of their installed cards for each hosted advancement counter past 4. If the Runner trashes at least 1 card this way, take 1 bad publicity.",Project Ares,"When you score this agenda, the Runner trashes 1 of their installed cards for each hosted advancement counter past 4. If the Runner trashes at least 1 card this way, take 1 bad publicity.",Project Ares,agenda,False,,,,,4,2,,haas-bioroid,Project Ares,20062,102,883,1205,corp,298,0,,
33032,3,haas-bioroid,0,"""The Midnight-3 glows with an inviting warmth that belies the broken promise within. All that awaits you there is a life of indentured servitude.""
–Sundog",Emilio Rodriguez,,Expansion,,ms,32,3,corp,"When you score this agenda, draw 3 cards. Skip your discard step this turn.",Midnight-3 Arcology,"When you score this agenda, draw 3 cards. Skip your discard step this turn.",Midnight-3 Arcology,agenda,False,,,,,4,2,,haas-bioroid,Midnight-3 Arcology,33032,37,434,1507,corp,6076,0,,
3007,3,haas-bioroid,0,"""Why limit our best assets to our own servers? The enemy doesn't stay passively at home, waiting for us to come to him. Why should we?"" -Director Haas",Ed Mattinian,,Security,,cac,7,3,corp,"Whenever the Runner suffers at least 1 core damage, do 1 net damage.",Sentinel Defense Program,"Whenever the Runner suffers at least 1 core damage, do 1 net damage.",Sentinel Defense Program,agenda,False,,,,,4,2,,haas-bioroid,Sentinel Defense Program,3007,110,794,1284,corp,240,1,0,
6081,3,haas-bioroid,0,"""'What does it do?' Whatever I bloody want it to do."" -Director Haas",Veli Nyström,,Initiative,,atr,81,3,corp,"When you score Bifrost Array, you may trigger the ""when scored"" ability of another agenda that is not a copy of Bifrost Array in your score area.",Bifrost Array,"When you score Bifrost Array, you may trigger the ""when scored"" ability of another agenda that is not a copy of Bifrost Array in your score area.",Bifrost Array,agenda,False,,,,,3,1,,haas-bioroid,Bifrost Array,6081,115,575,1422,corp,544,1,0,
8032,3,haas-bioroid,0,"""My research could make your corporation billions. And save lives, of course.""",Rebecca Sorge,,Research,,bb,32,3,corp,"When you score Research Grant, you may score another copy of Research Grant that is installed.",Research Grant,"When you score Research Grant, you may score another copy of Research Grant that is installed.",Research Grant,agenda,False,,,,,3,1,,haas-bioroid,Research Grant,8032,101,730,1322,corp,670,1,3,
8051,3,haas-bioroid,0,Cyber enhancements can be dangerous in the wrong hands.,Abrar Ajmal,,Security,,cc,51,3,corp,The Runner's maximum hand size is reduced by 1.,Self-Destruct Chips,The Runner's maximum hand size is reduced by 1.,Self-Destruct Chips,agenda,False,,,,,3,1,,haas-bioroid,Self-Destruct Chips,8051,131,639,1380,corp,689,1,0,
10011,3,haas-bioroid,0,"""I don't want a hopper. I've never even owned one. But every time I jack in, that same damn ad loads."" -2xTiger",BalanceSheet,,Research,,kg,11,3,corp,"The first time the Runner initiates a run each turn, you may draw 1 card or gain 1 credit.",Advanced Concept Hopper,"The first time the Runner initiates a run each turn, you may draw 1 card or gain 1[credit].",Advanced Concept Hopper,agenda,False,,,,,4,2,,haas-bioroid,Advanced Concept Hopper,10011,132,472,1483,corp,824,1,2,
2011,3,haas-bioroid,0,Sometimes employee reviews took a little bit longer than anticipated.,Mauricio Herrera,,Initiative,,wla,11,3,corp,You have 1 additional click to spend each turn.,Mandatory Upgrades,You have 1 additional [click] to spend each turn.,Mandatory Upgrades,agenda,False,,,,,6,2,,haas-bioroid,Mandatory Upgrades,2011,132,496,1470,corp,124,2,2,
3005,3,haas-bioroid,0,,Jason Rumpff,,Initiative,,cac,5,3,corp,"Place 3 agenda counters on Efficiency Committee when you score it. click, hosted agenda counter: Gain click click. You cannot advance cards for the remainder of this turn.",Efficiency Committee,"Place 3 agenda counters on Efficiency Committee when you score it.
[click], <strong>hosted agenda counter:</strong> Gain [click][click]. You cannot advance cards for the remainder of this turn.",Efficiency Committee,agenda,False,,,,,4,2,,haas-bioroid,Efficiency Committee,3005,117,128,1764,corp,238,2,2,TRUE
6001,3,haas-bioroid,0,,Adrian Dadich,,,,up,1,3,corp,"click,click,click: Place 1 agenda counter on Domestic Sleepers. Domestic Sleepers is worth 1 agenda point while it has at least 1 agenda counter on it.",Domestic Sleepers,"[click],[click],[click]: Place 1 agenda counter on Domestic Sleepers.
Domestic Sleepers is worth 1 agenda point while it has at least 1 agenda counter on it.",Domestic Sleepers,agenda,False,,,,,2,0,,haas-bioroid,Domestic Sleepers,6001,105,331,1583,corp,464,2,2,
10048,3,haas-bioroid,0,,Marko Fiedler,,Initiative,,dag,48,3,corp,"Place 3 agenda counters on Voting Machine Initiative when you score it. When the Runner's turn begins, you may spend 1 hosted agenda counter. If you do, the Runner loses click, if able.",Voting Machine Initiative,"Place 3 agenda counters on Voting Machine Initiative when you score it.
When the Runner's turn begins, you may spend 1 hosted agenda counter. If you do, the Runner loses [click], if able.",Voting Machine Initiative,agenda,False,,,,,5,3,,haas-bioroid,Voting Machine Initiative,10048,130,548,1439,corp,861,2,2,
12110,3,haas-bioroid,0,"""Sure, we also use human labor—they are more easily replaced."" -Emil Merk",Mark Molnar,,,,cd,110,3,corp,"When you score CFC Excavation Contract, gain 2 credits for each rezzed bioroid.",CFC Excavation Contract,"When you score CFC Excavation Contract, gain 2[credit] for each rezzed <strong>bioroid</strong>.",CFC Excavation Contract,agenda,False,,,,,4,2,,haas-bioroid,CFC Excavation Contract,12110,120,738,1318,corp,1157,2,2,
13029,3,haas-bioroid,0,The black level clearance sub-sub-basement of Haas-Bioroid is a magical place.,Martin de Diego Sádaba,,Security,,td,29,3,corp,"When you score this agenda, you may pay X credits. If you do, the Runner adds X cards from the grip at random to the bottom of the stack, then draws 1 card.",Brain Rewiring,"When you score this agenda, you may pay X[credit]. If you do, the Runner adds X cards from the grip at random to the bottom of the stack, then draws 1 card.",Brain Rewiring,agenda,False,,,,,3,1,,haas-bioroid,Brain Rewiring,13029,123,164,1718,corp,1196,2,2,TRUE
21010,3,haas-bioroid,0,"""The average citizen of Nairobi speaks six languages. Every culture, language, ethnicity of the east of Africa collides here, collapses together. What happens slowly by nature can happen quickly in our lab. We will bring peace."" - Dr. Muchina, Project Lead",Michał Miłkowski,,Security,,ss,10,3,corp,"As an additional cost to steal Ikawah Project, the Runner must spend click and 2 credits.",Ikawah Project,"As an additional cost to steal Ikawah Project, the Runner must spend [click] and 2[credit].",Ikawah Project,agenda,False,,,,,5,3,,haas-bioroid,Ikawah Project,21010,115,334,1582,corp,1366,2,2,
21091,3,haas-bioroid,0,,Nasrul Hakim,,Security,,win,91,3,corp,"When you score Remote Enforcement, you may search R&D for a piece of ice, install it protecting a remote server (paying its install cost), and rez it, ignoring its rez cost, then shuffle R&D.",Remote Enforcement,"When you score Remote Enforcement, you may search R&D for a piece of ice, install it protecting a remote server (paying its install cost), and rez it, ignoring its rez cost, then shuffle R&D.",Remote Enforcement,agenda,False,,,,,4,2,,haas-bioroid,Remote Enforcement,21091,120,525,1455,corp,1447,2,1,
22027,3,haas-bioroid,0,"""Our analysis shows significant support from both the public and private sectors.""",Angga Satriohadi,,Expansion,,rar,27,3,corp,"When Hyperloop Extension is scored or stolen, the Corp gains 3 credits.",Hyperloop Extension,"When Hyperloop Extension is scored or stolen, the Corp gains 3[credit].",Hyperloop Extension,agenda,False,,,,,3,1,,haas-bioroid,Hyperloop Extension,22027,112,251,1649,corp,1503,2,2,
25069,3,haas-bioroid,0,,Clark Huggins,,Research,,sc19,69,2,corp,"When you score Successful Field Test, install any number of cards from HQ, ignoring all costs.",Successful Field Test,"When you score Successful Field Test, install any number of cards from HQ, ignoring all costs.",Successful Field Test,agenda,False,,,,,4,2,,haas-bioroid,Successful Field Test,25069,113,198,1684,corp,1198,2,2,
26032,3,haas-bioroid,0,"""Early success should be rewarded, as it will encourage a culture of drive and competition.""
-Corporate Leadership for Dummies",Krembler,,Research,,df,32,3,corp,"When you score this agenda, look at the top 5 cards of R&D. You may install and rez 1 of those cards, ignoring all costs.",Architect Deployment Test,"When you score this agenda, look at the top 5 cards of R&D. You may install and rez 1 of those cards, ignoring all costs.",Architect Deployment Test,agenda,False,,,,,4,2,,haas-bioroid,Architect Deployment Test,26032,132,437,1506,corp,1722,2,1,
26097,3,haas-bioroid,0,,Patrick Burk,,Research,,ur,97,3,corp,"Interrupt -> When this agenda would be added to the Runner's score area from anywhere except Archives, instead it is added to their score area with 4 hosted agenda counters. While this agenda is in the Runner's score area with 1 or more hosted agenda counters, it is worth 0 agenda points and gains ""When the Runner's turn begins, remove 1 hosted agenda counter.""",Project Vacheron,"[interrupt] → When this agenda would be added to the Runner's score area from anywhere except Archives, instead it is added to their score area with 4 hosted agenda counters.
While this agenda is in the Runner's score area with 1 or more hosted agenda counters, it is worth 0 agenda points and gains ""When the Runner's turn begins, remove 1 hosted agenda counter.""",Project Vacheron,agenda,False,,,,,5,3,,haas-bioroid,Project Vacheron,26097,87,15,1990,corp,1787,2,1,
27004,3,haas-bioroid,0,"""Win Hard or Lose Hard. All that matters is they're talking about you and not the competition.""
- Tan ""Nitro"" Nyugen, Toretto-Extreme Team Manager",Krembler,,,,urbp,4,3,corp,"If there is another copy of Megaprix Qualifier in either player's score area when you score this agenda, place 1 agenda counter on this agenda. This agenda is worth 1 more agenda point while it has a hosted agenda counter.",Megaprix Qualifier,"If there is another copy of Megaprix Qualifier in either player's score area when you score this agenda, place 1 agenda counter on this agenda.
This agenda is worth 1 more agenda point while it has a hosted agenda counter.",Megaprix Qualifier,agenda,False,,,,,3,1,,haas-bioroid,Megaprix Qualifier,27004,110,144,1747,corp,1786,2,3,
33096,3,haas-bioroid,0,"Bend the minds of those below you such that they will always need you, and loyalty is assured forever.",Oliver Morit,,Research,,ph,96,3,corp,This agenda gets -1 advancement requirement for each core damage the Runner has taken this game.,Ontological Dependence,This agenda gets -1 advancement requirement for each core damage the Runner has taken this game.,Ontological Dependence,agenda,False,,,,,4,2,,haas-bioroid,Ontological Dependence,33096,31,152,1741,corp,8222,2,3,TRUE
1055,3,haas-bioroid,0,,Rachel Borovic,,Research,,core,55,3,corp,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,agenda,False,,,,,3,2,,haas-bioroid,Accelerated Beta Test,1055,112,75,1841,corp,55,3,2,
13030,3,haas-bioroid,0,,Matt Zeilinger,,Initiative,,td,30,3,corp,"Place 2 agenda counters on Elective Upgrade when you score it. click, hosted agenda counter: Gain click click. Use this ability only once per turn.",Elective Upgrade,"Place 2 agenda counters on Elective Upgrade when you score it.
[click], <strong>hosted agenda counter</strong>: Gain [click][click]. Use this ability only once per turn.",Elective Upgrade,agenda,False,,,,,5,3,,haas-bioroid,Elective Upgrade,13030,121,273,1629,corp,1197,3,2,
30036,1,haas-bioroid,0,We are the light of tomorrow.,Zoe Cohen,,Research,,sg,36,3,corp,"When you score this agenda, gain click click click. You cannot score agendas for the remainder of the turn. Limit 1 per deck.",Luminal Transubstantiation,"When you score this agenda, gain [click][click][click]. You cannot score agendas for the remainder of the turn.
Limit 1 per deck.",Luminal Transubstantiation,agenda,False,,,,,3,2,,haas-bioroid,Luminal Transubstantiation,30036,94,63,1862,corp,1887,3,1,
31041,3,haas-bioroid,0,Perfection of form.,Krembler,,Research,,su21,41,3,corp,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3. Hosted agenda counter: Add 1 card from Archives to HQ.",Project Vitruvius,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Add 1 card from Archives to HQ.",Project Vitruvius,agenda,False,,,,,3,2,,haas-bioroid,Project Vitruvius,31041,109,46,1898,corp,164,3,2,
33031,3,haas-bioroid,0,Ancient paradoxes are children's stories to the greatest minds ever designed.,Scott Uminga,,Security,,ms,31,3,corp,"When you score this agenda, you may derez 1 installed card.",Elivagar Bifurcation,"When you score this agenda, you may derez 1 installed card.",Élivágar Bifurcation,agenda,False,,,,,2,1,,haas-bioroid,Élivágar Bifurcation,33031,42,192,1688,corp,6075,3,2,
4053,3,jinteki,0,,Bruno Balixa,,Security,,mt,53,3,corp,"When you score Unorthodox Predictions, choose sentry, code gate or barrier. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,"When you score Unorthodox Predictions, choose <strong>sentry</strong>, <strong>code gate</strong> or <strong>barrier</strong>. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,agenda,False,,,,,3,1,,jinteki,Unorthodox Predictions,4053,107,847,1245,corp,341,0,,
4032,3,jinteki,0,"""They call it 'retirement'. I call it 'euthanasia'."" -Ken ""Express"" Tenma",Gong Studios,,Initiative,,st,32,3,corp,"When you score Clone Retirement, you may remove 1 bad publicity. When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,"When you score Clone Retirement, you may remove 1 bad publicity.
When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,agenda,False,,,,,2,1,,jinteki,Clone Retirement,4032,109,595,1411,corp,320,1,0,
6063,3,jinteki,0,,Lili Ibrahim,,Security,,uao,63,3,corp,Place 2 power counters on Labyrinthine Servers when you score it. Hosted power counter: Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.,Labyrinthine Servers,"Place 2 power counters on Labyrinthine Servers when you score it.
<strong>Hosted power counter:</strong> Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.",Labyrinthine Servers,agenda,False,,,,,5,3,,jinteki,Labyrinthine Servers,6063,114,646,1375,corp,526,1,1,
8013,3,jinteki,0,"""The best part of our work is that nothing is ever wasted. A gene that is useful once will surely be useful again."" -Wong Ya Ching",Rovina Cai,,Research,,val,13,3,corp,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,agenda,False,,,,,3,1,,jinteki,Genetic Resequencing,8013,109,742,1315,corp,651,1,0,
10105,3,jinteki,0,"They eat us, we eat them, the cycle goes on and on. -Omar Keung, ""the Flashpoint""",Johnny Morrow,,Research,,ftm,105,3,corp,"When Improved Protein Source is scored or stolen, the Runner gains 4 credits.",Improved Protein Source,"When Improved Protein Source is scored or stolen, the Runner gains 4[credit].",Improved Protein Source,agenda,False,,,,,4,3,,jinteki,Improved Protein Source,10105,101,715,1332,corp,918,1,1,
11052,3,jinteki,0,,Priscilla Kim,,Security,,es,52,3,corp,"When you score Project Kusanagi, place 1 agenda counter on it for each advancement token on it over 2. Hosted agenda counter: Choose 1 piece of ice to gain ""Subroutine Do 1 net damage."" after all its other subroutines for the remainder of this run.",Project Kusanagi,"When you score Project Kusanagi, place 1 agenda counter on it for each advancement token on it over 2.
<strong>Hosted agenda counter:</strong> Choose 1 piece of ice to gain ""[subroutine] Do 1 net damage."" after all its other subroutines for the remainder of this run.",Project Kusanagi,agenda,False,,,,,2,0,,jinteki,Project Kusanagi,11052,88,766,1297,corp,979,1,0,
12092,3,jinteki,0,"""As you'll see on page 276, section CDXXIX, paragraph 47, line 102 of your contract, you are overdue for your seed upgrade, and all growth from out of date seed is to be confiscated and destroyed.""",Ed Mattinian,,Security,,fm,92,3,corp,"When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.",Mandatory Seed Replacement,"When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers.",Mandatory Seed Replacement,agenda,False,,,,,4,2,,jinteki,Mandatory Seed Replacement,12092,112,845,1247,corp,1139,0,0,
12093,3,jinteki,0,AgInfusion doesn't just have patents on nearly every plant seed that is farmed on Mars—they own most of the rights to the water that the farms use.,Mark Molnar,,Initiative,,fm,93,3,corp,The install cost of each non-virtual resource is increased by 1.,Water Monopoly,The install cost of each non-<strong>virtual</strong> resource is increased by 1.,Water Monopoly,agenda,False,,,,,3,1,,jinteki,Water Monopoly,12093,104,838,1254,corp,1140,0,0,
26040,3,jinteki,0,,Krembler,,Research,,df,40,3,corp,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3. Hosted agenda counter: Swap 1 card from HQ with 1 card in the root of or protecting the attacked server. The Runner may jack out. Use this ability only during a run.",Project Yagi-Uda,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3.
<strong>Hosted agenda counter:</strong> Swap 1 card from HQ with 1 card in the root of or protecting the attacked server. The Runner may jack out. Use this ability only during a run.",Project Yagi-Uda,agenda,False,,,,,3,2,,jinteki,Project Yagi-Uda,26040,106,265,1639,corp,1730,1,2,
5005,3,jinteki,0,"""You won't feel it. Or anything else, for that matter.""",Gong Studios,,Research,,hap,5,3,corp,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,agenda,False,,,,,4,2,,jinteki,Medical Breakthrough,5005,116,284,1620,corp,413,2,3,
10088,3,jinteki,0,,Emilio Rodriguez,,Initiative - Psi,,tlm,88,3,corp,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,agenda,False,,,,,3,1,,jinteki,Dedicated Neural Net,10088,107,668,1361,corp,901,2,1,
20094,3,jinteki,0,,Gong Studios,,Research,,core2,78,3,corp,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3. The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust.",Braintrust,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3.
The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust.",Braintrust,agenda,False,,,,,3,2,,jinteki,Braintrust,20094,115,290,1616,corp,127,2,2,
21094,3,jinteki,0,"Quicker and deadlier than ever imagined, the trial was an outstanding success.",Michał Miłkowski,,Research - Security,,win,94,3,corp,"When the turn on which you scored Viral Weaponization ends, do 1 net damage for each card in the grip.",Viral Weaponization,"When the turn on which you scored Viral Weaponization ends, do 1 net damage for each card in the grip.",Viral Weaponization,agenda,False,,,,,4,2,,jinteki,Viral Weaponization,21094,114,317,1597,corp,1450,2,2,
22035,3,jinteki,0,"""Jumon, all too Jumon...""",Mariusz Siergiejew,,Research,,rar,35,3,corp,"When your turn ends, place 2 advancement counters on 1 card in the root of a remote server.",Jumon,"When your turn ends, place 2 advancement counters on 1 card in the root of a remote server.",Jumon,agenda,False,,,,,6,2,,jinteki,Jumon,22035,105,510,1462,corp,1511,2,2,
25088,1,jinteki,0,,Ed Mattinian,,Security,,sc19,88,1,corp,"When you score Philotic Entanglement, do 1 net damage for each agenda in the Runner's score area. Limit 1 Philotic Entanglement per deck.",Philotic Entanglement,"When you score Philotic Entanglement, do 1 net damage for each agenda in the Runner's score area.
Limit 1 Philotic Entanglement per deck.",Philotic Entanglement,agenda,True,,,,,3,2,,jinteki,Philotic Entanglement,25088,120,113,1788,corp,414,2,1,
26041,3,jinteki,0,"""'It is my nature,' said the scorpion.""
-Conceptual Frameworks in Bio-Ethics and Synthetic Morality, Moser University Press",Krembler,,Ambush,,df,41,3,corp,"When a player scores or steals this agenda, do X net damage. X is equal to the number of copies of Sting! in the other player's score area plus 1.",Sting!,"When a player scores or steals this agenda, do X net damage. X is equal to the number of copies of Sting! in the other player's score area plus 1.",Sting!,agenda,False,,,,,3,1,,jinteki,Sting!,26041,106,101,1803,corp,1731,2,3,
