,code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id,count,decklists
0,01055,3,haas-bioroid,0,,Rachel Borovic,,Research,,core,55,3,corp,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at.",Accelerated Beta Test,agenda,False,,,,,3.0,2.0,,haas-bioroid,Accelerated Beta Test,01055,112,75,1841.0,corp,55,1236,441
1,01081,1,nbn,0,,Matt Zeilinger,,Initiative,,core,81,2,corp,"When you score this agenda, place 1 agenda counter on it. Hosted agenda counter: Place 1 advancement counter on an installed card you can advance. Limit 1 per deck.",AstroScript Pilot Program,"When you score this agenda, place 1 agenda counter on it.
<strong>Hosted agenda counter:</strong> Place 1 advancement counter on an installed card you can advance.
Limit 1 per deck.",AstroScript Pilot Program,agenda,False,,,,,3.0,2.0,,nbn,AstroScript Pilot Program,01081,104,1,2132.0,corp,81,1127,484
2,01082,3,nbn,0,,Imaginary FS Pte Ltd,,,,core,82,2,corp,"When you score Breaking News, give the Runner 2 tags. When the turn on which you scored Breaking News ends, the Runner loses 2 tags.",Breaking News,"When you score Breaking News, give the Runner 2 tags.
When the turn on which you scored Breaking News ends, the Runner loses 2 tags.",Breaking News,agenda,False,,,,,2.0,1.0,,nbn,Breaking News,01082,121,5,2055.0,corp,82,872,378
3,01095,3,weyland-consortium,0,"""If some two-cred newsy picks it up, even better. The scum could be in the alleys of Guayaquil of the slums of BosWash. Not to mention off-planet.""",Mauricio Herrera,,Security,,core,95,2,corp,"When you score Posted Bounty, you may forfeit it to give the Runner 1 tag and take 1 bad publicity.",Posted Bounty,"When you score Posted Bounty, you may forfeit it to give the Runner 1 tag and take 1 bad publicity.",Posted Bounty,agenda,False,,,,,3.0,1.0,,weyland-consortium,Posted Bounty,01095,120,574,1423.0,corp,95,243,121
4,02011,3,haas-bioroid,0,Sometimes employee reviews took a little bit longer than anticipated.,Mauricio Herrera,,Initiative,,wla,11,3,corp,You have 1 additional click to spend each turn.,Mandatory Upgrades,You have 1 additional [click] to spend each turn.,Mandatory Upgrades,agenda,False,,,,,6.0,2.0,,haas-bioroid,Mandatory Upgrades,02011,132,496,1470.0,corp,124,208,96
5,02016,3,nbn,0,"""We're gonna need a bigger room.""",Ed Mattinian,,Initiative,,wla,16,3,corp,"click: Trace[2]. If successful, give the Runner 1 tag.",Restructured Datapool,"[click]: Trace[2]. If successful, give the Runner 1 tag.",Restructured Datapool,agenda,False,,,,,5.0,3.0,,nbn,Restructured Datapool,02016,113,733,1320.0,corp,129,159,78
6,02039,3,neutral-corp,0,,JB Casacop,,,,ta,39,3,corp,"When you score Executive Retreat, place 1 agenda counter on it and shuffle HQ into R&D. click, hosted agenda counter: Draw 5 cards.",Executive Retreat,"When you score Executive Retreat, place 1 agenda counter on it and shuffle HQ into R&D.
[click], <strong>hosted agenda counter:</strong> Draw 5 cards.",Executive Retreat,agenda,False,,,,,5.0,3.0,,neutral-corp,Executive Retreat,02039,99,791,1285.0,corp,152,101,52
7,02077,3,weyland-consortium,0,It's really hard to lose a government contract.,Mitchell Malloy,,,,asis,77,3,corp,"click, click: Gain 4 credits.",Government Contracts,"[click], [click]: Gain 4[credit].",Government Contracts,agenda,False,,,,,5.0,3.0,,weyland-consortium,Government Contracts,02077,103,768,1297.0,corp,190,313,150
8,02120,3,neutral-corp,0,There were several ways to win a corporate war. One of them was to bring out the bazookas.,Gong Studios,,Expansion,,fp,120,3,corp,"If you have at least 7 credits when you score Corporate War, gain 7 credits; otherwise, lose all credits in your credit pool.",Corporate War,"If you have at least 7[credit] when you score Corporate War, gain 7[credit]; otherwise, lose all credits in your credit pool.",Corporate War,agenda,False,,,,,4.0,2.0,,neutral-corp,Corporate War,02120,92,870,1227.0,corp,233,229,132
9,03004,1,haas-bioroid,0,,Matt Zeilinger,,Initiative,,cac,4,3,corp,"When you score this agenda, you may create a new remote server by installing up to 3 cards from HQ and/or Archives in the root of and/or protecting that server, ignoring all install costs. Limit 1 per deck.",Director Haas' Pet Project,"When you score this agenda, you may create a new remote server by installing up to 3 cards from HQ and/or Archives in the root of and/or protecting that server, ignoring all install costs.
Limit 1 per deck.",Director Haas' Pet Project,agenda,True,,,,,3.0,1.0,,haas-bioroid,Director Haas' Pet Project,03004,127,636,1381.0,corp,237,121,117
10,03005,3,haas-bioroid,0,,Jason Rumpff,,Initiative,,cac,5,3,corp,"Place 3 agenda counters on Efficiency Committee when you score it. click, hosted agenda counter: Gain click click. You cannot advance cards for the remainder of this turn.",Efficiency Committee,"Place 3 agenda counters on Efficiency Committee when you score it.
[click], <strong>hosted agenda counter:</strong> Gain [click][click]. You cannot advance cards for the remainder of this turn.",Efficiency Committee,agenda,False,,,,,4.0,2.0,,haas-bioroid,Efficiency Committee,03005,117,128,1764.0,corp,238,442,190
11,03007,3,haas-bioroid,0,"""Why limit our best assets to our own servers? The enemy doesn't stay passively at home, waiting for us to come to him. Why should we?"" -Director Haas",Ed Mattinian,,Security,,cac,7,3,corp,"Whenever the Runner suffers at least 1 core damage, do 1 net damage.",Sentinel Defense Program,"Whenever the Runner suffers at least 1 core damage, do 1 net damage.",Sentinel Defense Program,agenda,False,,,,,4.0,2.0,,haas-bioroid,Sentinel Defense Program,03007,110,794,1284.0,corp,240,105,45
12,03023,3,neutral-corp,0,"Sell the dream-show them how very much they want to be rich, and they'll convince themselves that someday, they will be. How can they revolt against their future selves? -the New Gospel of Wealth",Emilio Rodriguez,,Expansion,,cac,23,3,corp,"click, click: Gain 3 credits.",Gila Hands Arcology,"[click], [click]: Gain 3[credit].",Gila Hands Arcology,agenda,False,,,,,3.0,1.0,,neutral-corp,Gila Hands Arcology,03023,131,537,1445.0,corp,256,446,225
13,04014,3,nbn,0,"""The thing about journalism is there's always a better story around the corner. Soon, they smelled blood elsewhere, and the world forgot about me. But I didn't forget."" -The Professor",Mike Nesbitt,,Security,,om,14,3,corp,"When you score Character Assassination, trash 1 resource (cannot be prevented).",Character Assassination,"When you score Character Assassination, trash 1 resource (cannot be prevented).",Character Assassination,agenda,False,,,,,4.0,2.0,,nbn,Character Assassination,04014,96,702,1340.0,corp,302,123,63
14,04017,3,weyland-consortium,0,Pumping water into deep sea thermal vents produced huge amounts of energy. A profitable side effect.,Mike Nesbitt,,Expansion,,om,17,3,corp,"Place 2 agenda counters on Geothermal Fracking when you score it. click, hosted agenda counter: Gain 7 credits and take 1 bad publicity.",Geothermal Fracking,"Place 2 agenda counters on Geothermal Fracking when you score it.
[click], <strong>hosted agenda counter:</strong> Gain 7[credit] and take 1 bad publicity.",Geothermal Fracking,agenda,False,,,,,4.0,2.0,,weyland-consortium,Geothermal Fracking,04017,129,577,1422.0,corp,305,333,147
15,04032,3,jinteki,0,"""They call it 'retirement'. I call it 'euthanasia'."" -Ken ""Express"" Tenma",Gong Studios,,Initiative,,st,32,3,corp,"When you score Clone Retirement, you may remove 1 bad publicity. When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,"When you score Clone Retirement, you may remove 1 bad publicity.
When the Runner steals Clone Retirement, the Corp takes 1 bad publicity.",Clone Retirement,agenda,False,,,,,2.0,1.0,,jinteki,Clone Retirement,04032,109,595,1411.0,corp,320,211,87
16,04039,3,neutral-corp,0,It was surprisingly easy to make creds…if you didn't care about how you made them.,JuanManuel Tumburus,,,,st,39,3,corp,"When you score Profiteering, take up to 3 bad publicity. Gain 5 credits for each bad publicity taken.",Profiteering,"When you score Profiteering, take up to 3 bad publicity. Gain 5[credit] for each bad publicity taken.",Profiteering,agenda,False,,,,,3.0,1.0,,neutral-corp,Profiteering,04039,143,493,1471.0,corp,327,236,102
17,04053,3,jinteki,0,,Bruno Balixa,,Security,,mt,53,3,corp,"When you score Unorthodox Predictions, choose sentry, code gate or barrier. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,"When you score Unorthodox Predictions, choose <strong>sentry</strong>, <strong>code gate</strong> or <strong>barrier</strong>. Subroutines on ice of the chosen type cannot be broken until the beginning of your next turn.",Unorthodox Predictions,agenda,False,,,,,3.0,1.0,,jinteki,Unorthodox Predictions,04053,107,847,1245.0,corp,341,36,17
18,04080,3,neutral-corp,0,It's easy to replace limbs. It's more difficult to replace memories.,Gong Studios,,Initiative,,tc,80,3,corp,"When you score Veterans Program, you may remove up to 2 bad publicity.",Veterans Program,"When you score Veterans Program, you may remove up to 2 bad publicity.",Veterans Program,agenda,False,,,,,3.0,1.0,,neutral-corp,Veterans Program,04080,101,783,1288.0,corp,368,79,36
19,04095,3,nbn,0,,Gong Studios,,Research,,fal,95,3,corp,"If the Runner is tagged when you score Market Research, place 1 agenda counter on it. Market Research is worth 1 additional agenda point while it has an agenda counter on it.",Market Research,"If the Runner is tagged when you score Market Research, place 1 agenda counter on it.
Market Research is worth 1 additional agenda point while it has an agenda counter on it.",Market Research,agenda,False,,,,,4.0,2.0,,nbn,Market Research,04095,107,684,1349.0,corp,383,123,60
20,04098,3,weyland-consortium,0,"""I did warn you that leaks would have to be patched.""",Adam Schumpert,,Security,,fal,98,3,corp,"When you score Vulcan Coverup, do 2 meat damage. When the Runner steals Vulcan Coverup, take 1 bad publicity.",Vulcan Coverup,"When you score Vulcan Coverup, do 2 meat damage.
When the Runner steals Vulcan Coverup, take 1 bad publicity.",Vulcan Coverup,agenda,False,,,,,3.0,1.0,,weyland-consortium,Vulcan Coverup,04098,102,886,1202.0,corp,386,89,38
21,04119,3,neutral-corp,0,,Viktoria Gavrilenko,,Security,,dt,119,3,corp,"The advancement requirement of NAPD Contract is increased by 1 for each bad publicity the Corp has. As an additional cost to steal NAPD Contract, the Runner must pay 4 credits.",NAPD Contract,"The advancement requirement of NAPD Contract is increased by 1 for each bad publicity the Corp has.
As an additional cost to steal NAPD Contract, the Runner must pay 4[credit].",NAPD Contract,agenda,False,,,,,4.0,2.0,,neutral-corp,NAPD Contract,04119,119,48,1893.0,corp,407,1323,543
22,05005,3,jinteki,0,"""You won't feel it. Or anything else, for that matter.""",Gong Studios,,Research,,hap,5,3,corp,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area.,Medical Breakthrough,agenda,False,,,,,4.0,2.0,,jinteki,Medical Breakthrough,05005,116,284,1620.0,corp,413,438,147
23,05007,3,jinteki,0,,Christina Davis,,Initiative - Psi,,hap,7,3,corp,"When the Runner accesses The Future Perfect, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, prevent The Future Perfect from being stolen. Ignore this ability if the Runner accesses The Future Perfect while it is installed.",The Future Perfect,"When the Runner accesses The Future Perfect, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, prevent The Future Perfect from being stolen. Ignore this ability if the Runner accesses The Future Perfect while it is installed.",The Future Perfect,agenda,False,,,,,5.0,3.0,,jinteki,The Future Perfect,05007,123,85,1822.0,corp,415,1077,447
24,06001,3,haas-bioroid,0,,Adrian Dadich,,,,up,1,3,corp,"click,click,click: Place 1 agenda counter on Domestic Sleepers. Domestic Sleepers is worth 1 agenda point while it has at least 1 agenda counter on it.",Domestic Sleepers,"[click],[click],[click]: Place 1 agenda counter on Domestic Sleepers.
Domestic Sleepers is worth 1 agenda point while it has at least 1 agenda counter on it.",Domestic Sleepers,agenda,False,,,,,2.0,0.0,,haas-bioroid,Domestic Sleepers,06001,105,331,1583.0,corp,464,188,81
25,06030,1,neutral-corp,0,,Seage,,Source,,tsb,30,3,corp,Ignore the install cost of the first piece of ice you install each turn. Limit 1 per deck.,Eden Fragment,"Ignore the install cost of the first piece of ice you install each turn.
Limit 1 per deck.",Eden Fragment,agenda,True,,,,,5.0,3.0,,neutral-corp,Eden Fragment,06030,102,769,1296.0,corp,493,173,167
26,06049,3,neutral-corp,0,"The irony is that those who'd want to destroy certain memories can't afford to do so, and those who can afford it-well, they're too busy sipping on dreamwine.",Adam S. Doyle,,Research,,fc,49,3,corp,"When you score this agenda, the Runner removes all cards in the heap from the game.",Chronos Project,"When you score this agenda, the Runner removes all cards in the heap from the game.",Chronos Project,agenda,False,,,,,3.0,1.0,,neutral-corp,Chronos Project,06049,106,318,1597.0,corp,512,317,189
27,06063,3,jinteki,0,,Lili Ibrahim,,Security,,uao,63,3,corp,Place 2 power counters on Labyrinthine Servers when you score it. Hosted power counter: Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.,Labyrinthine Servers,"Place 2 power counters on Labyrinthine Servers when you score it.
<strong>Hosted power counter:</strong> Prevent the Runner from jacking out. The Runner cannot jack out for the remainder of this run.",Labyrinthine Servers,agenda,False,,,,,5.0,3.0,,jinteki,Labyrinthine Servers,06063,114,646,1375.0,corp,526,74,35
28,06071,1,neutral-corp,0,,Seage,,Source,,uao,71,3,corp,"When your turn begins, you may add 1 card from Archives to the bottom of R&D. Limit 1 per deck.",Hades Fragment,"When your turn begins, you may add 1 card from Archives to the bottom of R&D.
Limit 1 per deck.",Hades Fragment,agenda,True,,,,,5.0,3.0,,neutral-corp,Hades Fragment,06071,123,416,1522.0,corp,534,227,221
29,06081,3,haas-bioroid,0,"""'What does it do?' Whatever I bloody want it to do."" -Director Haas",Veli Nyström,,Initiative,,atr,81,3,corp,"When you score Bifrost Array, you may trigger the ""when scored"" ability of another agenda that is not a copy of Bifrost Array in your score area.",Bifrost Array,"When you score Bifrost Array, you may trigger the ""when scored"" ability of another agenda that is not a copy of Bifrost Array in your score area.",Bifrost Array,agenda,False,,,,,3.0,1.0,,haas-bioroid,Bifrost Array,06081,115,575,1422.0,corp,544,80,39
30,06087,3,weyland-consortium,0,"""Our new barriers will be built on the rubble of our enemies"".",Gong Studios,,Security,,atr,87,3,corp,"All barrier ice have +1 strength. When you score Superior Cyberwalls, gain 1 credit for each rezzed barrier.",Superior Cyberwalls,"All <strong>barrier</strong> ice have +1 strength.
When you score Superior Cyberwalls, gain 1[credit] for each rezzed <strong>barrier</strong>.",Superior Cyberwalls,agenda,False,,,,,3.0,1.0,,weyland-consortium,Superior Cyberwalls,06087,119,819,1267.0,corp,550,52,23
31,06110,1,neutral-corp,0,,Seage,,Source,,ts,110,3,corp,"As an additional cost to steal an agenda, the Runner must pay 2 credits for each advancement token on that agenda. Limit 1 per deck.",Utopia Fragment,"As an additional cost to steal an agenda, the Runner must pay 2[credit] for each advancement token on that agenda.
Limit 1 per deck.",Utopia Fragment,agenda,True,,,,,5.0,3.0,,neutral-corp,Utopia Fragment,06110,136,422,1518.0,corp,573,132,126
32,07004,3,weyland-consortium,0,,Ed Mattinian,,Security,,oac,4,3,corp,Place 3 agenda counters on Firmware Updates when you score it. Hosted agenda counter: Place 1 advancement token on a piece of ice that can be advanced. Use this ability only once per turn.,Firmware Updates,"Place 3 agenda counters on Firmware Updates when you score it.
<strong>Hosted agenda counter:</strong> Place 1 advancement token on a piece of ice that can be advanced. Use this ability only once per turn.",Firmware Updates,agenda,False,,,,,3.0,1.0,,weyland-consortium,Firmware Updates,07004,106,826,1264.0,corp,587,115,45
33,07005,3,weyland-consortium,0,,Dawn Carlos,,Expansion,,oac,5,3,corp,Glenn Station can host a single card. click: Host a card from HQ facedown on Glenn Station. click: Add a card on Glenn Station to HQ.,Glenn Station,"Glenn Station can host a single card.
[click]: Host a card from HQ facedown on Glenn Station.
[click]: Add a card on Glenn Station to HQ.",Glenn Station,agenda,False,,,,,4.0,2.0,,weyland-consortium,Glenn Station,07005,120,793,1284.0,corp,588,46,33
34,07006,1,weyland-consortium,0,It is essential to liberate a populace from tyranny before that tyranny takes root.,Matt Zeilinger,,Expansion,,oac,6,3,corp,click: Gain 3 credits. Limit 1 Government Takeover per deck.,Government Takeover,"[click]: Gain 3[credit].
Limit 1 Government Takeover per deck.",Government Takeover,agenda,True,,,,,9.0,6.0,,weyland-consortium,Government Takeover,07006,108,294,1614.0,corp,589,112,112
35,07007,3,weyland-consortium,0,"""Trust me. I know what I'm doing.""",Kate Laird,,Expansion,,oac,7,3,corp,"Place 1 agenda counter on High-Risk Investment when you score it. click, hosted agenda counter: Gain 1 credit for each credit in the Runner's credit pool.",High-Risk Investment,"Place 1 agenda counter on High-Risk Investment when you score it.
[click], <strong>hosted agenda counter:</strong> Gain 1[credit] for each credit in the Runner's credit pool.",High-Risk Investment,agenda,False,,,,,5.0,3.0,,weyland-consortium,High-Risk Investment,07007,133,592,1413.0,corp,590,225,113
36,08013,3,jinteki,0,"""The best part of our work is that nothing is ever wasted. A gene that is useful once will surely be useful again."" -Wong Ya Ching",Rovina Cai,,Research,,val,13,3,corp,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area.",Genetic Resequencing,agenda,False,,,,,3.0,1.0,,jinteki,Genetic Resequencing,08013,109,742,1315.0,corp,651,23,16
37,08032,3,haas-bioroid,0,"""My research could make your corporation billions. And save lives, of course.""",Rebecca Sorge,,Research,,bb,32,3,corp,"When you score Research Grant, you may score another copy of Research Grant that is installed.",Research Grant,"When you score Research Grant, you may score another copy of Research Grant that is installed.",Research Grant,agenda,False,,,,,3.0,1.0,,haas-bioroid,Research Grant,08032,101,730,1322.0,corp,670,38,13
38,08051,3,haas-bioroid,0,Cyber enhancements can be dangerous in the wrong hands.,Abrar Ajmal,,Security,,cc,51,3,corp,The Runner's maximum hand size is reduced by 1.,Self-Destruct Chips,The Runner's maximum hand size is reduced by 1.,Self-Destruct Chips,agenda,False,,,,,3.0,1.0,,haas-bioroid,Self-Destruct Chips,08051,131,639,1380.0,corp,689,110,39
39,08077,3,weyland-consortium,0,,Alex Kim,,Initiative - Public,,uw,77,3,corp,"Install Underway Renovation faceup. Whenever you advance Underway Renovation, trash the top card of the Runner's stack (or top 2 cards instead if there are 4 or more advancement tokens on Underway Renovation).",Underway Renovation,"Install Underway Renovation faceup.
Whenever you advance Underway Renovation, trash the top card of the Runner's stack (or top 2 cards instead if there are 4 or more advancement tokens on Underway Renovation).",Underway Renovation,agenda,False,,,,,3.0,1.0,,weyland-consortium,Underway Renovation,08077,122,631,1385.0,corp,715,61,28
40,08093,3,nbn,0,,Clark Huggins,,Sensie,,oh,93,3,corp,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda, you may place up to 2 advancement counters on 1 installed card you can advance.",Award Bait,"While the Runner is accessing this agenda in R&D, they must reveal it.
When the Runner accesses this agenda, you may place up to 2 advancement counters on 1 installed card you can advance.",Award Bait,agenda,False,,,,,3.0,1.0,,nbn,Award Bait,08093,113,729,1322.0,corp,731,91,36
41,08098,3,weyland-consortium,0,,David Ogilvie,,Initiative - Public,,oh,98,3,corp,"Install Hollywood Renovation faceup. Whenever you advance Hollywood Renovation, you may place 1 advancement token on another card that can be advanced (or 2 advancement tokens instead if there are 6 or more advancement tokens on Hollywood Renovation).",Hollywood Renovation,"Install Hollywood Renovation faceup.
Whenever you advance Hollywood Renovation, you may place 1 advancement token on another card that can be advanced (or 2 advancement tokens instead if there are 6 or more advancement tokens on Hollywood Renovation).",Hollywood Renovation,agenda,False,,,,,5.0,3.0,,weyland-consortium,Hollywood Renovation,08098,134,471,1483.0,corp,736,153,66
42,08100,3,neutral-corp,1,"EXT. KANSAS - DAY
DOROTHY (Miranda) gazes out at the horizon. A sudden gust of wind catches her hair. Above the windblasted prairie loom ominous STORM CLOUDS.
DOROTHY: If only I wasn't in Kansas anymore.
She begins to hum a haunting melody.",Ashley Witter,,,,oh,100,3,corp,,Vanity Project,,Vanity Project,agenda,False,,,,,6.0,4.0,,neutral-corp,Vanity Project,08100,125,524,1455.0,corp,738,143,70
43,08120,3,neutral-corp,0,,Tim Durning,,Initiative,,uot,120,3,corp,"When you score The Future is Now, search R&D for a card and add it to HQ. Shuffle R&D.",The Future is Now,"When you score The Future is Now, search R&D for a card and add it to HQ. Shuffle R&D.",The Future is Now,agenda,False,,,,,3.0,1.0,,neutral-corp,The Future is Now,08120,126,374,1550.0,corp,758,216,105
44,09004,1,nbn,0,"You had your shot, and you blew it.",Hannah Christenson,,,,dad,4,3,corp,click: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area. Limit 1 per deck.,15 Minutes,"[click]: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area.
Limit 1 per deck.",15 Minutes,agenda,True,,,,,2.0,1.0,,nbn,15 Minutes,09004,113,115,1786.0,corp,762,321,321
